rank,team,group,p_group_qualify,p_round_of_32,p_round_of_16,p_quarter_final,p_semi_final,p_final,p_winner,ci95_group_qualify,ci95_round_of_32,ci95_quarter_final,ci95_semi_final,ci95_final,ci95_winner,n_simulations
37,Sweden,L,0.4145,0.1274,0.1274,0.0391,0.0128,0.0022,0.0006,0.0097,0.0065,0.0038,0.0022,0.0009,0.0005,10000
38,Bosnia and Herzegovina,D,0.7288,0.2046,0.2046,0.0634,0.0187,0.0045,0.0004,0.0087,0.0079,0.0048,0.0027,0.0013,0.0004,10000
39,Cape Verde,F,0.4401,0.0924,0.0924,0.025,0.0043,0.0007,0.0004,0.0097,0.0057,0.0031,0.0013,0.0005,0.0004,10000
40,Jordan,A,0.2768,0.0992,0.0992,0.0317,0.0108,0.0026,0.0003,0.0088,0.0059,0.0034,0.002,0.001,0.0003,10000
41,Haiti,E,0.4295,0.1152,0.1152,0.0302,0.0068,0.0013,0.0002,0.0097,0.0063,0.0034,0.0016,0.0007,0.0003,10000
42,New Zealand,C,0.2744,0.0643,0.0643,0.0141,0.0035,0.0008,0.0001,0.0087,0.0048,0.0023,0.0012,0.0006,0.0002,10000
43,Iraq,K,0.3124,0.0976,0.0976,0.028,0.008,0.0019,0.0001,0.0091,0.0058,0.0032,0.0017,0.0009,0.0002,10000
44,Curaçao,I,0.2871,0.0663,0.0663,0.0153,0.0036,0.0004,0.0001,0.0089,0.0049,0.0024,0.0012,0.0004,0.0002,10000
45,South Africa,J,0.3761,0.0976,0.0976,0.0216,0.0062,0.0011,0.0,0.0095,0.0058,0.0028,0.0015,0.0006,0.0,10000
46,Ghana,H,0.1652,0.0281,0.0281,0.0048,0.0002,0.0001,0.0,0.0073,0.0032,0.0014,0.0003,0.0002,0.0,10000
47,Qatar,D,0.2298,0.0295,0.0295,0.0046,0.0004,0.0001,0.0,0.0082,0.0033,0.0013,0.0004,0.0002,0.0,10000
48,Saudi Arabia,F,0.3517,0.072,0.072,0.0197,0.0033,0.0007,0.0,0.0094,0.0051,0.0027,0.0011,0.0005,0.0,10000
